1,1.64324e-19,5.1749e-16,-1.59479e-17,5.03612e-16,-1.49993e-17,2.65413e-16,-5.21095e-18,5.1749e-16,-1.11571e-17
0.679996,0.0306834,-0.0311499,-0.00140557,-0.0311499,-0.00140557,0.0013564,6.12046e-05,-0.0311499,-0.00140557
0.351178,0.031757,-0.0447557,-0.00404725,-0.0447557,-0.00404725,0.00441475,0.000399225,-0.0447557,-0.00404725
0.0453292,0.00616967,-0.0426617,-0.00580661,-0.0426617,-0.00580661,0.00769501,0.00104735,-0.0426617,-0.00580661
-0.209399,-0.0381842,-0.0284924,-0.00519561,-0.0284924,-0.00519561,0.00995368,0.00181506,-0.0284924,-0.00519561
-0.391998,-0.0899091,-0.00701598,-0.00160919,-0.00701598,-0.00160919,0.0103651,0.00237735,-0.00701598,-0.00160919
-0.491045,-0.136194,0.0166115,0.00460728,0.0166115,0.00460728,0.00861776,0.00239018,0.0166115,0.00460728
-0.50576,-0.165163,0.0376066,0.012281,0.0376066,0.012281,0.00491621,0.00160546,0.0376066,0.012281
-0.445557,-0.168085,0.0522101,0.0196961,0.0522101,0.0196961,-0.000105421,-3.97695e-05,0.0522101,0.0196961
-0.328222,-0.141031,0.0581403,0.0249819,0.0581403,0.0249819,-0.00553738,-0.00237932,0.0581403,0.0249819
-0.17702,-0.0857121,0.0547915,0.0265297,0.0547915,0.0265297,-0.0103853,-0.00502849,0.0547915,0.0265297
-0.0172037,-0.00930961,0.043165,0.0233583,0.043165,0.0233583,-0.013763,-0.00744771,0.043165,0.0233583
0.127551,0.07665,0.0255594,0.0153596,0.0255594,0.0153596,-0.0150543,-0.00904666,0.0255594,0.0153596
0.23825,0.158214,0.00508608,0.00337749,0.00508608,0.00337749,-0.0140165,-0.00930791,0.00508608,0.00337749
0.302805,0.221379,-0.0149033,-0.0108958,-0.0149033,-0.0108958,-0.0108128,-0.00790519,-0.0149033,-0.0108958
0.317096,0.254533,-0.0313811,-0.0251896,-0.0313811,-0.0251896,-0.0059693,-0.00479155,-0.0313811,-0.0251896
0.284791,0.250527,-0.0421092,-0.0370428,-0.0421092,-0.0370428,-0.000271268,-0.000238631,-0.0421092,-0.0370428
0.216026,0.208041,-0.0459394,-0.0442412,-0.0459394,-0.0442412,0.00538243,0.00518347,-0.0459394,-0.0442412
0.125232,0.131989,-0.0429108,-0.0452261,-0.0429108,-0.0452261,0.0101375,0.0106845,-0.0429108,-0.0452261
0.0284997,0.0328875,-0.0341441,-0.0394009,-0.0341441,-0.0394009,0.0133269,0.0153787,-0.0341441,-0.0394009
-0.05907,-0.0747205,-0.0215643,-0.0272778,-0.0215643,-0.0272778,0.0145734,0.0184346,-0.0215643,-0.0272778
-0.125618,-0.17453,-0.00751175,-0.0104366,-0.00751175,-0.0104366,0.0138368,0.0192245,-0.00751175,-0.0104366
-0.164046,-0.251063,0.00568483,0.00870031,0.00568483,0.00870031,0.0113983,0.0174445,0.00568483,0.00870031
-0.172626,-0.29216,0.0160973,0.0272438,0.0160973,0.0272438,0.00779116,0.0131861,0.0160973,0.0272438
-0.154662,-0.290956,0.0224853,0.0423,0.0224853,0.0423,0.00368975,0.00694128,0.0224853,0.0423
-0.117351,-0.247029,0.0244385,0.0514441,0.0244385,0.0514441,-0.000218214,-0.000459351,0.0244385,0.0514441
-0.0700906,-0.166524,0.0223602,0.0531242,0.0223602,0.0531242,-0.00335372,-0.0079679,0.0223602,0.0531242
-0.0225797,-0.0612286,0.0173061,0.0469283,0.0173061,0.0469283,-0.00534007,-0.0144805,0.0173061,0.0469283
0.0169512,0.0532461,0.0107185,0.0336682,0.0107185,0.0336682,-0.0060527,-0.0190123,0.0107185,0.0336682
0.0430677,0.159887,0.00411178,0.0152648,0.00411178,0.0152648,-0.00561816,-0.0208571,0.00411178,0.0152648
0.0538172,0.242914,-0.0012289,-0.00554687,-0.0012289,-0.00554687,-0.00436542,-0.0197042,-0.0012289,-0.00554687
0.0506936,0.29021,-0.0044797,-0.0256453,-0.0044797,-0.0256453,-0.00274123,-0.015693,-0.0044797,-0.0256453
0.0379397,0.295152,-0.0054005,-0.0420132,-0.0054005,-0.0420132,-0.00120776,-0.00939579,-0.0054005,-0.0420132
0.0213626,0.25757,-0.00433032,-0.0522109,-0.00433032,-0.0522109,-0.000143519,-0.00173042,-0.00433032,-0.0522109
0.00692032,0.183684,-0.00206295,-0.0547563,-0.00206295,-0.0547563,0.000232931,0.00618263,-0.00206295,-0.0547563
-0.000632323,0.0850454,0.000366921,-0.0493497,0.000366921,-0.0493497,-9.81083e-05,0.0131952,0.000366921,-0.0493497
0.00122652,-0.0233286,0.00194051,-0.0369089,0.00194051,-0.0369089,-0.000962677,0.0183103,0.00194051,-0.0369089
0.0122732,-0.125325,0.00190097,-0.0194113,0.00190097,-0.0194113,-0.00204038,0.0208349,0.00190097,-0.0194113
