-0.5,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-0.5,0
-0.171267,0,-0.369822,0,-0.369734,0,-0.369734,0,-0.369734,0,-0.369734,0,-0.369822,0,-0.171267,0
-0.0191201,0,-0.0519421,0,-0.0516221,0,-0.0516231,0,-0.0516231,0,-0.0516221,0,-0.0519421,0,-0.0191201,0
-0.00706534,0,-0.0130382,0,-0.0126723,0,-0.0126786,0,-0.0126786,0,-0.0126723,0,-0.0130382,0,-0.00706534,0
-0.0616312,0,-0.124037,0,-0.12388,0,-0.123895,0,-0.123895,0,-0.12388,0,-0.124037,0,-0.0616312,0
-0.110858,0,-0.2375,0,-0.237489,0,-0.237507,0,-0.237507,0,-0.237489,0,-0.2375,0,-0.110858,0
-0.115426,0,-0.260991,0,-0.260749,0,-0.260754,0,-0.260754,0,-0.260749,0,-0.260991,0,-0.115426,0
-0.0778118,0,-0.188568,0,-0.187761,0,-0.187749,0,-0.187749,0,-0.187761,0,-0.188568,0,-0.0778118,0
-0.0282448,0,-0.0800558,0,-0.0787206,0,-0.0787237,0,-0.0787237,0,-0.0787206,0,-0.0800558,0,-0.0282448,0
0.00102429,0,-0.00822109,0,-0.00676174,0,-0.00683779,0,-0.00683779,0,-0.00676174,0,-0.00822109,0,0.00102429,0
-0.00323641,0,-0.00946044,0,-0.00832212,0,-0.00850835,0,-0.00850835,0,-0.00832212,0,-0.00946044,0,-0.00323641,0
-0.0301501,0,-0.0664092,0,-0.0657316,0,-0.0659866,0,-0.0659866,0,-0.0657316,0,-0.0664092,0,-0.0301501,0
-0.0558035,0,-0.12773,0,-0.127262,0,-0.127459,0,-0.127459,0,-0.127262,0,-0.12773,0,-0.0558035,0
-0.0609366,0,-0.14689,0,-0.146216,0,-0.146212,0,-0.146212,0,-0.146216,0,-0.14689,0,-0.0609366,0
-0.0430121,0,-0.112416,0,-0.111279,0,-0.111034,0,-0.111034,0,-0.111279,0,-0.112416,0,-0.0430121,0
-0.0156564,0,-0.051114,0,-0.0495768,0,-0.04922,0,-0.04922,0,-0.0495768,0,-0.051114,0,-0.0156564,0
0.00253661,0,-0.00545813,0,-0.00379154,0,-0.00357455,0,-0.00357455,0,-0.00379154,0,-0.00545813,0,0.00253661,0
0.00117491,0,-0.0030441,0,-0.0014715,0,-0.00160438,0,-0.00160438,0,-0.0014715,0,-0.0030441,0,0.00117491,0
-0.0157551,0,-0.0392981,0,-0.0378271,0,-0.0383079,0,-0.0383079,0,-0.0378271,0,-0.0392981,0,-0.0157551,0
-0.034083,0,-0.0836743,0,-0.0821508,0,-0.0827174,0,-0.0827174,0,-0.0821508,0,-0.0836743,0,-0.034083,0
